      Step     Time          Energy          fmax
BFGS:   35 20:10:25    -1177.413693        0.015881
BFGS:   36 20:10:30    -1177.413999        0.014963
BFGS:   37 20:10:33    -1177.414227        0.012834
BFGS:   38 20:10:37    -1177.414350        0.013984
BFGS:   39 20:10:40    -1177.414639        0.013678
BFGS:   40 20:10:43    -1177.414899        0.015486
BFGS:   41 20:10:47    -1177.415128        0.012017
BFGS:   42 20:10:50    -1177.415311        0.009743
      Step     Time          Energy          fmax
BFGS:    0 20:13:39    -1171.728085        3.547034
BFGS:    1 20:13:42    -1175.747418        1.636966
BFGS:    2 20:13:45    -1176.502713        0.664830
BFGS:    3 20:13:48    -1177.097852        0.361065
BFGS:    4 20:13:51    -1177.208524        0.246798
BFGS:    5 20:13:54    -1177.298123        0.176232
BFGS:    6 20:13:57    -1177.321301        0.129736
BFGS:    7 20:14:00    -1177.337979        0.078741
BFGS:    8 20:14:02    -1177.345578        0.060306
BFGS:    9 20:14:05    -1177.352368        0.062525
BFGS:   10 20:14:08    -1177.356732        0.054652
BFGS:   11 20:14:11    -1177.361234        0.068023
BFGS:   12 20:14:14    -1177.367490        0.073389
BFGS:   13 20:14:17    -1177.374967        0.061023
BFGS:   14 20:14:20    -1177.381467        0.061299
BFGS:   15 20:14:23    -1177.386823        0.061203
BFGS:   16 20:14:27    -1177.392850        0.071780
BFGS:   17 20:14:32    -1177.399167        0.067107
BFGS:   18 20:14:43    -1177.403851        0.045076
BFGS:   19 20:14:53    -1177.405850        0.025539
BFGS:   20 20:15:04    -1177.406888        0.029490
BFGS:   21 20:15:15    -1177.408032        0.037020
BFGS:   22 20:15:26    -1177.409039        0.026187
BFGS:   23 20:15:37    -1177.409604        0.017229
BFGS:   24 20:15:48    -1177.409833        0.015674
BFGS:   25 20:15:59    -1177.410199        0.018219
BFGS:   26 20:16:10    -1177.410596        0.021990
BFGS:   27 20:16:21    -1177.411099        0.015696
BFGS:   28 20:16:28    -1177.411435        0.015752
BFGS:   29 20:16:32    -1177.411725        0.014088
BFGS:   30 20:16:36    -1177.412122        0.018446
BFGS:   31 20:16:41    -1177.412488        0.020424
BFGS:   32 20:16:45    -1177.412915        0.014166
BFGS:   33 20:16:50    -1177.413251        0.012178
BFGS:   34 20:16:56    -1177.413449        0.012879
BFGS:   35 20:17:01    -1177.413709        0.015904
BFGS:   36 20:17:05    -1177.413953        0.014987
BFGS:   37 20:17:09    -1177.414227        0.012838
BFGS:   38 20:17:14    -1177.414411        0.014022
BFGS:   39 20:17:18    -1177.414670        0.013693
BFGS:   40 20:17:23    -1177.414914        0.015591
BFGS:   41 20:17:27    -1177.415128        0.012112
BFGS:   42 20:17:32    -1177.415341        0.009741
      Step     Time          Energy          fmax
BFGS:    0 11:08:23    -1171.728085        3.547034
BFGS:    1 11:08:26    -1175.747418        1.636966
BFGS:    2 11:08:29    -1176.502744        0.664829
BFGS:    3 11:08:32    -1177.097867        0.361036
BFGS:    4 11:08:35    -1177.208524        0.246798
BFGS:    5 11:08:38    -1177.298108        0.176213
BFGS:    6 11:08:42    -1177.321317        0.129737
BFGS:    7 11:08:52    -1177.337964        0.078752
BFGS:    8 11:09:03    -1177.345578        0.060314
BFGS:    9 11:09:15    -1177.352368        0.062552
BFGS:   10 11:09:26    -1177.356748        0.054620
BFGS:   11 11:09:37    -1177.361234        0.068017
BFGS:   12 11:09:48    -1177.367520        0.073396
BFGS:   13 11:09:59    -1177.374967        0.061041
BFGS:   14 11:10:09    -1177.381482        0.061308
BFGS:   15 11:10:16    -1177.386823        0.061184
BFGS:   16 11:10:18    -1177.392789        0.071769
BFGS:   17 11:10:22    -1177.399167        0.067089
BFGS:   18 11:10:25    -1177.403806        0.045071
BFGS:   19 11:10:27    -1177.405911        0.025523
BFGS:   20 11:10:38    -1177.406934        0.029543
BFGS:   21 11:10:48    -1177.408032        0.036993
BFGS:   22 11:10:58    -1177.409039        0.026236
BFGS:   23 11:11:08    -1177.409528        0.017967
BFGS:   24 11:11:19    -1177.409863        0.015304
BFGS:   25 11:11:29    -1177.410169        0.018285
BFGS:   26 11:11:39    -1177.410581        0.021996
BFGS:   27 11:11:50    -1177.411038        0.015634
BFGS:   28 11:12:00    -1177.411389        0.014487
BFGS:   29 11:12:11    -1177.411664        0.013867
BFGS:   30 11:12:21    -1177.412061        0.018370
BFGS:   31 11:12:32    -1177.412534        0.020526
BFGS:   32 11:12:35    -1177.412946        0.014006
BFGS:   33 11:12:39    -1177.413205        0.012220
BFGS:   34 11:12:43    -1177.413403        0.012763
BFGS:   35 11:12:48    -1177.413739        0.015759
BFGS:   36 11:12:52    -1177.413892        0.014903
BFGS:   37 11:12:57    -1177.414258        0.012843
BFGS:   38 11:13:01    -1177.414380        0.013987
BFGS:   39 11:13:04    -1177.414685        0.013644
BFGS:   40 11:13:13    -1177.414884        0.015506
BFGS:   41 11:13:26    -1177.415158        0.011981
BFGS:   42 11:13:37    -1177.415280        0.009741
